Text,consolidated_tag,Target
你的意外醫療會幫你服務到110歲,長期保障,5
幫您加強終身意外醫療,長期保障,5
25年會多12%一次還給邱大哥,期滿領回,0
"工作上的安全,我們走路騎車開車,會有60萬的意外醫療來保護您",醫療保障,7
"搭公車火車高鐵...變2倍,120萬",其他,9
"...飛機還會升到3倍,180萬",其他,9
"他的保證就變2倍,120萬",其他,9
"如果搭到飛機還會升到3倍,180萬",其他,9
"透過儲蓄保障的方式,我們錢會通通還給您",期滿領回,0
"這福邦也會幫你把意外醫療加強起來,扶你到110歲",長期保障,5
"我們只有儲蓄10年, 年限蠻短的",期滿領回,0
"25年一到, 把大哥的每一塊錢, 我們會多12%通通還給您",期滿領回,0
扶你到110歲,長期保障,5
每一塊錢我們會多12%通通還給您,期滿領回,0
我們幫大哥把意外醫療加強的比較足夠,醫療保障,7
一樣可以多12%拿了回來,期滿領回,0
大哥一個月只要儲蓄2100就有了,期滿領回,0
10年才放25萬，就這麼貼心,其他,9
多領一筆28萬2240元,其他,9
120萬的意外醫療,醫療保障,7
"我們再幫你加兩倍,120萬來保護你",保障額度,8
"如果搭飛機的話,我們再幫你升等三倍,加180萬",保障額度,8
"都是從需要跟你年輕的54歲開始,我們一直服務你,保護你到110歲",長期保障,5
"我們的EI保障能夠保到110歲,也更安心",長期保障,5
"印尼越EI型護理油平安線,他們是低保費高保障,不綁約的",保險彈性,3
我們的EI保障能夠保到110歲，也更安心,長期保障,5
"他們是低保費高保障,不綁約的",保險彈性,3
"印尼越部份想要少保一點,也是很有彈性",保險彈性,3
我們只有除10年,其他,9
繳10年過加終身是很值得把握的,長期保障,5
它儲蓄年限滿短的,期滿領回,0
幫你把終身意外錢加強的比較足夠,長期保障,5
未來儲蓄的錢一樣會多12%,期滿領回,0
等於是未來儲蓄的錢一樣會多12%,期滿領回,0
兩筆錢你可以領88萬7040塊,其他,9
我們幫你加強的比較足夠,保障額度,8
"會有120萬,路上水上大衝衝工具是240萬",其他,9
空中路是360萬,其他,9
一直幫全然的求大哥扶你到110歲,長期保障,5
你的那個醫療協是終身的嗎?,長期保障,5
"其實我們的本意是希望能夠一起保護你,一起照顧你",保障額度,8
您可以幫他儲蓄一筆資產,期滿領回,0
一年期的保單，它是因為年紀越高寶貝是越貴,保險彈性,3
我們今天都是邀請大哥走儲蓄10年,期滿領回,0
一樣是25年把錢還給你,期滿領回,0
意外受傷住院，他病壓費一天多補貼600,醫療保障,7
25年把錢還給你,期滿領回,0
60萬的保障會幫你服務到85歲,長期保障,5
病壓費一天多補貼600,醫療保障,7
意外險的意思就是說,醫療保障,7
他是外來的出發狀況,其他,9
譬如說天災人禍,其他,9
這張保單你可以先參加，就是核保通過，快緩成功，保單就生效了。,其他,9
因為一年約他本來就不綁約嘛，就是有繳才有保障。,保險彈性,3
一年約他本來就不綁約嘛,保險彈性,3
意外潛上富貿的時候保到110歲,長期保障,5
其實終生意外醫療真的要加強到100萬以上,保障額度,8
普通病房是一千多六百嘛,醫療保障,7
"我們一樣是兩倍,一天加一千兩百塊給客戶",其他,9
我們會多12%一次還給你,期滿領回,0
"100萬的意外醫療,會保到110歲喔",長期保障,5
你每塊錢被加6%通通還給您,期滿領回,0
我們提供給你醫療保障會服務到99歲,長期保障,5
我們每一塊錢會加6%,期滿領回,0
可以當退休規劃,期滿領回,0
幫你保到99歲,長期保障,5
終生意外顯,長期保障,5
有儲蓄的功能,期滿領回,0
用戶頭扣比較簡單,其他,9
不用每個月每個月繳費,其他,9
"如果意外受傷有住院,就是一千六百塊的病房費",醫療保障,7
"如果住加護病房,傷亡病房,就是一天一千兩百塊",醫療保障,7
080年的電話是不用錢的啊,其他,9
"我們這張可以保到110歲,比較放心啦",長期保障,5
重點就是說意外險幫客戶保終身啦,長期保障,5
意外險幫客戶保終身,長期保障,5
"一次拿回來,53萬4千9百塊",理賠快速乾脆,2
"你會一次拿回來,53萬4千9百塊",理賠快速乾脆,2
我們的意外險是終身,長期保障,5
60萬的意外醫療,醫療保障,7
兩倍120萬,保障額度,8
你領回來的意外險就是終身,期滿領回,0
坐飛鏈機就是三倍180萬,保障額度,8
如果保費可以自己領回來，其實大家也都很開心,期滿領回,0
意外險還是會幫姐姐保護到你110歲,長期保障,5
意外險保障是保到110歲,長期保障,5
25年以後把姐姐的每一塊錢一樣會多12%通通還給你,期滿領回,0
我們這張2100繳10年才繳25萬,小錢大保障,1
讓令心姐可以多領一筆28萬2千240塊,其他,9
幫你把醫院保障加強的比較足夠,保障額度,8
我們再加60萬的意思，就變120萬,其他,9
交通上的風險天災人禍,其他,9
再加60萬的意思,其他,9
120萬給令心姐,其他,9
低保費高保障,小錢大保障,1
一年一約,保險彈性,3
繳費年限很短,其他,9
她就是繳費年限很短,其他,9
51歲儲蓄讓你61歲,期滿領回,0
要25年會把姐姐的錢還給,期滿領回,0
因為年期短啊,其他,9
女生手邊有錢都是加分啦,其他,9
那些儲蓄錢都拿回來,期滿領回,0
你不要輕易解約啦,其他,9
一直幫你做增值嗎,其他,9
有些早期的利息都蠻高的耶,其他,9
幫你服務到110歲,長期保障,5
照顧我們一輩子比較放心啦,其他,9
100萬的保障會比較夠,保障額度,8
就加起來就是100萬啦,其他,9
其實年限很短,其他,9
繳的錢也很少啊,其他,9
讓我們照顧你到99歲,長期保障,5
這20年繳保費總和，我們會加5%還給你本人領,期滿領回,0
每個月可以領1萬塊的失能生活扶助金，可以領到最高600個月,其他,9
這幾年因為長收,其他,9
失能錢幫客戶做後續長期照顧的服務,長期保障,5
幫客戶加強到終身110歲,長期保障,5
只要儲蓄10年,期滿領回,0
25年一到會多12%通通還給您,期滿領回,0
做我們的意外醫療是幫你服務到110歲,長期保障,5
那儲蓄金額貴賓可以自己設定,期滿領回,0
服務方會幫你保護到110歲,長期保障,5
我們特別幫你升等到兩倍200萬,保障額度,8
如果搭乘飛機會升等到三倍300萬,保障額度,8
可以透過儲蓄保障的方式來做參加,期滿領回,0
我們25年一到，會把紙銀的每一塊錢會多12%，統統還給你,期滿領回,0
會把紙銀的每一塊錢會多12%,期滿領回,0
保護你到110歲,長期保障,5
我們的EY法當會繼續服務你到110歲,長期保障,5
參加室內選的貴賓都是很有眼光,獨家商品,4
那紙銀小姐，你會不會考慮說意外險，可以加強到終身,長期保障,5
對阿因為意外險它就是一年一約阿,保險彈性,3
終身意外的照顧,長期保障,5
一般客戶是比較放心,其他,9
如果意外險能夠加強到終身，是比較沒有後顧之憂的,長期保障,5
意外險能夠加強到終身，是比較沒有後顧之憂,長期保障,5
一年一月的癌症險，很有彈性,保險彈性,3
我們幫客戶照顧的範圍,其他,9
直接一筆保險金做起伏,理賠快速乾脆,2
高額度的標準用料都涵蓋到這個活動當中,其他,9
它是一次給付,理賠快速乾脆,2
一般癌症是50萬,癌症保障,6
女生有乳癌,其他,9
